FROM_ID,TO_ID,DIST_KM
6,12,10.86993
6,13,11.65077
6,14,9.18365
6,15,10.45275
6,16,5.90344
6,17,8.129
6,18,7.204
6,19,6.37168
6,20,8.19351
6,21,11.21544
6,22,7.09165
6,23,15.47857
6,24,16.20298
6,25,10.01622
6,26,10.55706
6,27,11.21245
6,28,15.78659
6,29,5.13257
6,30,6.54629
6,31,12.67293
6,32,15.67332
6,33,15.58954
6,34,14.84663
6,35,15.29224
6,36,14.04508
6,37,13.72129
6,38,15.21462
6,39,16.94363
6,40,16.22637
6,41,18.49119
6,42,12.87639
6,43,12.46178
6,44,11.41402
6,45,13.88332
6,46,14.07369
6,47,14.48221
6,48,12.23968
6,49,11.42962
6,50,12.53768
6,51,10.87303
6,52,11.65521
6,53,10.05982
6,54,9.3509
6,55,10.69971
6,56,10.18224
7,1,5.21978
7,2,11.54083
7,3,10.53977
7,4,7.1211
7,5,11.37904
7,6,4.37573
7,7,0.0
7,8,4.01201
7,9,7.929
7,10,10.55647
7,11,8.47421
7,12,8.99398
7,13,9.77482
7,14,7.3077
7,15,8.5768
7,16,4.02749
7,17,6.25304
7,18,6.73946
7,19,4.49573
7,20,6.31756
7,21,9.33949
7,22,5.2157
7,23,13.60262
7,24,14.32702
7,25,8.14027
7,26,8.6811
7,27,9.3365
7,28,13.91064
7,29,5.51242
7,30,10.08873
7,31,17.07995
7,32,14.58995
7,33,14.50618
7,34,15.69412
7,35,14.20888
7,36,12.96172
7,37,12.63792
7,38,14.13125
7,39,15.86026
7,40,15.143
7,41,17.40782
7,42,11.79302
7,43,11.37842
7,44,10.33065
7,45,12.79995
7,46,12.99032
7,47,13.4984
7,48,11.25587
7,49,10.44581
7,50,11.45432
7,51,9.78966
7,52,10.57184
7,53,8.97646
7,54,5.01035
7,55,8.82376
7,56,9.09887
8,1,8.66392
8,2,12.11252
8,3,11.11146
8,4,11.10968
8,5,15.36762
8,6,8.36431
8,7,4.01855
8,8,0.0
8,9,8.51734
8,10,11.12815
8,11,9.0459
8,12,9.56566
8,13,10.3465
8,14,7.87938
8,15,5.37761
8,16,4.59917
8,17,6.82473
8,18,7.31115
8,19,5.06742
8,20,6.88924
8,21,9.91117
8,22,5.78738
8,23,14.1743
8,24,14.89871
8,25,8.71196
8,26,9.25279
8,27,9.90819
8,28,14.48232
8,29,8.95657
8,30,10.66042
8,31,17.65163
8,32,15.16163
8,33,15.07786
8,34,16.2658
8,35,14.78056
8,36,13.5334
8,37,13.20961
8,38,14.70294
